segment_id,lat,lon,hour_of_day,lighting_score,crime_reports_30d,foot_traffic,sidewalk_present,past_accidents_1y,avg_speed_limit,cctv_present,safety_score,risk_level
SEG100000,23.04256758267058,72.57654649809282,23,7.2072838666712835,3,9.215960230170907,1,0,20,0,67.3,Medium
SEG100001,23.024138314186363,72.55321251373329,13,7.112377614746704,0,8.395266613690277,0,2,30,0,73.0,Low
SEG100002,23.047222885595126,72.58537141062352,0,2.026950310833242,9,5.76284972672441,1,4,30,1,1.8,High
SEG100003,23.038355241598264,72.5456635154171,21,0.36655395168237126,2,9.782881051012499,0,0,80,1,36.4,High
SEG100004,23.00517975413382,72.56499557685564,22,3.0379952180706926,3,8.824676416526259,1,2,30,1,39.3,High
SEG100005,23.05365922934002,72.5419690491147,6,1.571363048589508,3,2.2264178334901974,1,4,60,1,19.5,High
SEG100006,23.04186268360947,72.56219454006508,9,3.9578847921569404,4,9.54035686941292,0,0,50,0,63.5,Medium
SEG100007,23.043233536790233,72.53991032308359,0,9.793461191526042,2,4.429594039964893,0,0,60,1,58.2,Medium
SEG100008,23.007046249797156,72.54050261058416,19,1.8107137090522096,4,1.548659119347221,0,1,50,1,31.0,High
SEG100009,23.024771226584257,72.56979451950772,18,3.1887394342296895,3,2.0008975645313876,1,2,80,1,27.8,High
SEG100010,23.02039389133279,72.54714609274143,0,7.2511431631957235,5,6.841945279627867,0,3,20,0,38.5,High
SEG100011,23.050972074386674,72.54120386972667,16,5.091827828619216,0,9.875584131524992,0,1,40,0,72.0,Low
SEG100012,23.035412581604437,72.59043493625877,9,0.43928143573384926,4,4.452716944258749,1,3,30,1,29.3,High
SEG100013,23.045251888729897,72.53279521129811,13,1.6169001816132167,0,5.731347318566926,1,1,30,0,61.3,Medium
SEG100014,23.024387780935502,72.56673462732523,5,9.352495547731959,2,3.0023958887698643,0,0,40,0,68.2,Medium
SEG100015,23.012498129698162,72.56563714971917,19,1.0316499273902846,0,8.454575179349842,1,4,40,0,49.9,Medium
SEG100016,23.03050216328587,72.5462895768362,9,6.350927872097057,1,1.1515595634083098,0,1,80,0,44.8,High
SEG100017,23.00350994908573,72.55943016343234,20,7.923256488409115,3,5.822473531243265,0,2,30,1,46.7,Medium
SEG100018,23.04551971445959,72.53570295590038,3,2.654390627249239,6,5.862204843285147,0,1,60,1,26.1,High
SEG100019,23.034741541951714,72.57688255948506,14,7.250780031386901,2,0.011397380900641796,0,2,30,1,47.3,Medium
SEG100020,23.041694825704695,72.5444103146445,7,1.6989517903018025,1,9.405623868480633,1,0,50,0,63.0,Medium
SEG100021,23.019498928247142,72.54257004838873,23,2.847502748337903,3,9.743423853769857,1,2,30,0,39.7,High
SEG100022,23.05338839134172,72.55046710108803,13,3.1182203088420746,2,4.674734399377929,1,0,80,1,63.0,Medium
SEG100023,23.04912166167272,72.5886540448171,17,9.964349905642235,1,7.256415826431425,1,1,40,0,83.6,Low
SEG100024,23.042811092339058,72.58177033213843,2,2.1457229521795727,0,8.487119416798114,1,0,20,0,57.5,Medium
SEG100025,23.010705128931857,72.59154799892369,16,1.2920746463358501,1,1.1670498017449549,0,3,60,1,27.4,High
SEG100026,23.025669655204986,72.57237755249216,2,9.256914374814103,4,0.8461889821786117,1,1,30,1,45.0,Medium
SEG100027,23.002409207118298,72.57308989821709,8,1.6193069382035274,2,6.893098199109547,0,2,60,0,39.8,High
SEG100028,23.008485922063716,72.5612020149627,5,8.792799196294053,2,5.594923122564306,1,0,20,1,72.8,Low
SEG100029,23.037567692428336,72.58883711101885,0,6.5045662764669,4,6.793936751994114,1,0,30,1,51.6,Medium
SEG100030,23.04096191857493,72.56320701470257,14,5.768614980705188,2,5.719965077217662,0,0,30,1,69.5,Medium
SEG100031,23.053213035283882,72.55307890460168,5,7.513387115465768,4,7.263917726908736,1,0,50,0,54.2,Medium
SEG100032,23.017920394697597,72.57162437564465,12,7.259989571480501,1,1.549092583248629,1,1,50,0,54.9,Medium
SEG100033,23.020375283831918,72.56549906707106,18,1.1052618941831371,1,2.1561813909342478,1,0,40,1,46.8,Medium
SEG100034,23.02582556962017,72.53806128799515,4,9.994661104066891,2,2.370231660305726,1,1,20,0,62.1,Medium
SEG100035,23.010420924749635,72.55552715190431,17,9.418897264487287,2,4.165200986968786,0,2,40,0,58.0,Medium
SEG100036,23.00714568279345,72.55036615172114,7,8.965919628619162,4,7.595603388152817,1,0,40,1,77.5,Low
SEG100037,23.026163770942425,72.58504419537573,7,6.222891339424068,5,8.313968113450777,1,0,30,1,73.2,Low
SEG100038,23.0124800141978,72.55462476620325,13,5.227913313323142,3,4.012966048470542,0,2,40,1,37.3,High
SEG100039,23.036839769707537,72.58340109012153,15,5.3627858388166825,2,6.020497796920025,1,1,40,1,68.1,Medium
SEG100040,23.024043355537977,72.55875532360356,15,0.1493694422823244,4,2.9517840046427146,1,0,40,1,45.3,Medium
SEG100041,23.045797300783182,72.57897753662397,4,4.994695019454429,4,4.757769054341587,0,0,40,0,36.5,High
SEG100042,23.038514580610123,72.53879332535323,13,6.237695676599198,1,9.409105287560507,1,1,30,0,72.3,Low
SEG100043,23.017180165276013,72.5901022642778,6,6.5870620877494845,6,2.692859065282436,1,1,60,1,38.9,High
SEG100044,23.045774289076736,72.56123639290193,6,3.3213946505131298,3,7.879436691548568,0,2,50,1,45.5,Medium
SEG100045,23.044262039662325,72.5468868859657,22,4.712823502935494,3,0.42194214762939275,0,1,50,0,16.2,High
